"","analyte","site","n","AI","DW","FB","LDW","PB"
"1","Al","D302",2,0,0,NA,0,NA
"2","Al","D303",2,0,100,NA,0,NA
"3","Al","D304",1,0,0,NA,0,NA
"4","Al","D305",6,0,33,NA,0,NA
"5","Al","D306",1,0,100,NA,0,NA
"6","Al","D307",3,0,0,NA,0,NA
"7","Al","D308",6,0,50,NA,0,NA
"8","Al","D309",3,0,0,NA,0,NA
"9","Al","D310",1,0,100,NA,0,NA
"10","Al","D311",4,0,25,NA,0,NA
"11","Al","D312",2,0,0,NA,0,NA
"12","Al","D315",2,0,0,NA,0,NA
"13","Al","D316",2,0,0,NA,0,NA
"14","Al","D317",6,0,0,NA,0,NA
"15","Al","D319",2,0,0,NA,0,NA
"16","Al","D321",6,0,0,NA,0,NA
"17","Al","D325",2,0,50,NA,0,NA
"18","Al","D326",2,0,50,NA,0,NA
"19","Al","G400",6,0,33,NA,0,NA
"20","Al","G401",5,0,80,NA,0,NA
"21","Al","G402",7,0,43,NA,0,NA
"22","Al","G403",6,0,0,NA,0,NA
"23","Al","G404",5,0,60,NA,0,NA
"24","Al","G405",5,0,60,NA,0,NA
"25","Al","G407",5,0,40,NA,0,NA
"26","Al","G408",2,0,50,NA,0,NA
"27","Al","G409",2,0,50,NA,0,NA
"28","Al","G410",5,0,40,NA,0,NA
"29","Al","G412",6,0,33,NA,0,NA
"30","Al","G413",6,0,50,NA,0,NA
"31","Al","G414",6,0,17,NA,0,NA
"32","Al","G415",6,0,50,NA,0,NA
"33","Al","G416",4,0,75,NA,0,NA
"34","Al","G417",5,0,100,NA,0,NA
"35","Al","G418",5,0,100,NA,0,NA
"36","Al","G419",3,0,100,NA,0,NA
"37","Al","G420",5,0,60,NA,0,NA
"38","Al","G422",5,0,20,NA,0,NA
"39","Al","G424",4,0,50,NA,0,NA
"40","Al","G425",4,0,100,NA,0,NA
"41","Al","G426",5,0,20,NA,0,NA
"42","Al","G427",5,0,20,NA,0,NA
"43","Al","G428",5,20,100,NA,20,NA
"44","Al","G429",1,0,100,NA,0,NA
"45","Al","H203",5,0,20,NA,0,NA
"46","Al","H204",5,0,0,NA,0,NA
"47","Al","H205",3,0,0,NA,0,NA
"48","Al","H206",6,0,33,NA,0,NA
"49","Al","H208",7,0,0,NA,0,NA
"50","Al","H209",5,0,0,NA,0,NA
"51","Al","H210",6,0,67,NA,0,NA
"52","Al","H211",4,0,25,NA,0,NA
"53","Al","H212",2,0,0,NA,0,NA
"54","Al","H213",4,0,25,NA,0,NA
"55","Al","H214",5,0,20,NA,0,NA
"56","Al","H215",5,0,40,NA,0,NA
"57","Al","H216",5,0,60,NA,0,NA
"58","Al","H217",5,0,80,NA,0,NA
"59","Al","H218",4,0,75,NA,0,NA
"60","Al","H219",4,0,25,NA,0,NA
"61","Al","H220",5,0,40,NA,0,NA
"62","Al","H221",6,0,33,NA,0,NA
"63","Al","H224",1,0,0,NA,0,NA
"64","Al","H225",1,0,100,NA,0,NA
"65","Al","T002",2,0,50,NA,0,NA
"66","Al","T006",1,0,0,NA,0,NA
"67","Al","T008",2,0,0,NA,0,NA
"68","Al","T009",2,0,0,NA,0,NA
"69","Al","T010",2,0,0,NA,0,NA
"70","Al","T013",1,0,0,NA,0,NA
"71","Al","T014",2,0,0,NA,0,NA
"72","Al","T015",2,0,50,NA,0,NA
"73","Al","T016",1,0,0,NA,0,NA
"74","Al","T018",2,0,100,NA,0,NA
"75","Al","T019",2,0,0,NA,0,NA
"76","Al","T020",2,0,0,NA,0,NA
"77","Al","T022",2,0,0,NA,0,NA
"78","Al","T023",2,0,0,NA,0,NA
"79","Al","T024",2,0,100,NA,0,NA
"80","Al","T025",2,0,50,NA,0,NA
"81","Al","T029",2,0,0,NA,0,NA
"82","Al","T033",1,0,0,NA,0,NA
"83","Al","T034",2,0,0,NA,0,NA
"84","Al","T035",2,0,0,NA,0,NA
"85","Al","T036",2,0,0,NA,0,NA
"86","Al","T037",1,0,100,NA,0,NA
"87","Al","T038",2,0,0,NA,0,NA
"88","Al","T039",2,0,0,NA,0,NA
"89","Al","T040",2,0,50,NA,0,NA
"90","Al","T041",1,0,0,NA,0,NA
"91","Al","T044",2,0,0,NA,0,NA
"92","Al","T046",2,0,0,NA,0,NA
"93","Al","T047",2,0,0,NA,0,NA
"94","Al","T048",1,0,0,NA,0,NA
"95","Al","T101",6,0,50,NA,0,NA
"96","Al","T102",6,0,83,NA,0,NA
"97","Al","T104",4,0,25,NA,0,NA
"98","Al","T105",1,0,0,NA,0,NA
"99","Al","T106",4,0,25,NA,0,NA
"100","Al","T107",4,0,25,NA,0,NA
"101","Al","T108",1,0,0,NA,0,NA
"102","Al","T109",6,0,33,NA,0,NA
"103","Al","T110",4,0,50,NA,0,NA
"104","Al","T111",4,0,25,NA,0,NA
"105","Al","T112",3,0,100,NA,0,NA
"106","Al","T113",6,0,0,NA,0,NA
"107","Al","T114",5,0,0,NA,0,NA
"108","Al","T115",1,0,0,NA,0,NA
"109","Al","T116",4,0,25,NA,0,NA
"110","Al","T117",5,0,80,NA,0,NA
"111","Al","T118",2,0,0,NA,0,NA
"112","Al","T119",1,0,0,NA,0,NA
"113","Al","T120",4,0,0,NA,0,NA
"114","Al","T121",6,0,17,NA,0,NA
"115","Al","T122",6,0,17,NA,0,NA
"116","Al","T123",4,0,0,NA,0,NA
"117","Al","T127",3,0,33,NA,0,NA
"118","Al","T128",6,0,50,NA,0,NA
"119","Al","T129",2,0,0,NA,0,NA
"120","Al","T132",4,0,25,NA,0,NA
"121","Al","T133",2,0,100,NA,0,NA
"122","Al","T134",1,0,0,NA,0,NA
"123","Al","T135",1,0,100,NA,0,NA
"124","Al","T137",3,0,33,NA,0,NA
"125","Al","T138",5,0,20,NA,0,NA
"126","Al","T141",5,0,40,NA,0,NA
"127","Al","T142",3,0,67,NA,0,NA
"128","Al","T143",5,0,60,NA,0,NA
"129","Al","T144",2,0,0,NA,0,NA
"130","Al","T146",3,0,33,NA,0,NA
"131","Al","T149",1,0,100,NA,0,NA
"132","Al","T150",2,0,0,NA,0,NA
"133","Al","T151",1,0,100,NA,0,NA
"134","Al","T152",4,0,50,NA,0,NA
"135","Al","T153",4,0,0,NA,0,NA
"136","Al","T154",6,0,0,NA,0,NA
"137","Al","T155",1,0,100,NA,0,NA
"138","Al","T156",6,0,0,NA,0,NA
"139","Al","T157",5,0,60,NA,0,NA
"140","Al","T158",4,0,50,NA,0,NA
"141","Al","T159",5,0,20,NA,0,NA
"142","Al","T160",5,0,0,NA,0,NA
"143","Al","T161",4,0,75,NA,0,NA
"144","Al","T162",3,0,67,NA,0,NA
"145","Al","T163",6,0,0,NA,0,NA
"146","Al","T164",4,0,0,NA,0,NA
"147","Al","T166",4,0,0,NA,0,NA
"148","Al","T169",6,0,33,NA,0,NA
"149","Al","T170",3,0,67,NA,0,NA
"150","Al","T172",4,0,0,NA,0,NA
"151","Al","T178",4,0,0,NA,0,NA
"152","Al","T180",1,0,0,NA,0,NA
"153","Al","T181",2,0,50,NA,0,NA
"154","Al","T182",3,0,67,NA,0,NA
"155","Al","T183",3,0,100,NA,0,NA
"156","Al","T187",5,0,40,NA,0,NA
"157","Al","T188",5,0,40,NA,0,NA
"158","Al","T190",1,0,0,NA,0,NA
"159","Al","T192",4,0,0,NA,0,NA
"160","Al","T193",3,0,67,NA,0,NA
"161","Al","T194",3,0,67,NA,0,NA
"162","Al","T198",5,0,40,NA,0,NA
"163","Al","T199",5,0,0,NA,0,NA
"164","As","D302",2,0,0,0,0,0
"165","As","D303",2,0,0,0,0,0
"166","As","D304",1,0,0,0,0,0
"167","As","D305",6,0,0,0,0,0
"168","As","D306",1,0,0,0,0,0
"169","As","D307",3,0,0,0,0,0
"170","As","D308",6,0,33,0,33,0
"171","As","D309",3,0,0,0,0,0
"172","As","D310",1,0,0,0,0,0
"173","As","D311",4,0,0,0,0,0
"174","As","D312",2,0,0,0,0,0
"175","As","D315",2,0,0,0,0,0
"176","As","D316",2,0,0,0,0,0
"177","As","D317",6,0,0,0,0,0
"178","As","D319",2,0,0,0,0,0
"179","As","D321",6,0,0,0,0,0
"180","As","D325",2,0,0,0,0,0
"181","As","D326",2,0,0,0,0,0
"182","As","G400",6,0,0,0,0,0
"183","As","G401",5,0,0,0,0,0
"184","As","G402",7,0,0,0,0,0
"185","As","G403",6,0,0,0,0,0
"186","As","G404",5,0,0,0,0,0
"187","As","G405",5,0,0,0,0,0
"188","As","G407",5,0,0,0,0,0
"189","As","G408",2,0,0,0,0,0
"190","As","G409",2,0,0,0,0,0
"191","As","G410",5,0,0,0,0,0
"192","As","G412",6,0,0,0,0,0
"193","As","G413",6,0,0,0,0,0
"194","As","G414",6,0,0,0,0,0
"195","As","G415",6,0,0,0,0,0
"196","As","G416",4,0,0,0,0,0
"197","As","G417",5,0,0,0,0,0
"198","As","G418",5,0,0,0,0,0
"199","As","G419",3,0,0,0,0,0
"200","As","G420",5,0,0,0,0,0
"201","As","G422",5,0,0,0,0,0
"202","As","G424",4,0,0,0,0,0
"203","As","G425",4,0,0,0,0,0
"204","As","G426",5,0,0,0,0,0
"205","As","G427",5,0,0,0,0,0
"206","As","G428",5,0,0,0,0,0
"207","As","G429",1,0,0,0,0,0
"208","As","H203",5,0,0,0,0,0
"209","As","H204",5,0,0,0,0,0
"210","As","H205",3,0,0,0,0,0
"211","As","H206",6,0,0,0,0,0
"212","As","H208",7,0,0,0,0,0
"213","As","H209",5,0,0,0,0,0
"214","As","H210",6,0,33,0,33,0
"215","As","H211",4,0,0,0,0,0
"216","As","H212",2,0,50,0,50,0
"217","As","H213",4,0,0,0,0,0
"218","As","H214",5,0,40,0,40,0
"219","As","H215",5,0,0,0,0,0
"220","As","H216",5,0,40,0,40,0
"221","As","H217",5,0,60,20,60,0
"222","As","H218",4,0,50,25,50,0
"223","As","H219",4,0,0,0,0,0
"224","As","H220",5,0,20,0,20,0
"225","As","H221",6,0,17,0,17,0
"226","As","H224",1,0,0,0,0,0
"227","As","H225",1,100,100,100,100,0
"228","As","T002",2,0,0,0,0,0
"229","As","T006",1,0,0,0,0,0
"230","As","T008",2,0,0,0,0,0
"231","As","T009",2,0,0,0,0,0
"232","As","T010",2,0,0,0,0,0
"233","As","T013",1,0,0,0,0,0
"234","As","T014",2,0,0,0,0,0
"235","As","T015",2,0,0,0,0,0
"236","As","T016",1,0,0,0,0,0
"237","As","T018",2,0,0,0,0,0
"238","As","T019",2,0,0,0,0,0
"239","As","T020",2,0,0,0,0,0
"240","As","T022",2,0,0,0,0,0
"241","As","T023",2,0,0,0,0,0
"242","As","T024",2,0,0,0,0,0
"243","As","T025",2,0,0,0,0,0
"244","As","T029",2,0,0,0,0,0
"245","As","T033",1,0,0,0,0,0
"246","As","T034",2,0,0,0,0,0
"247","As","T035",2,0,0,0,0,0
"248","As","T036",2,0,0,0,0,0
"249","As","T037",1,0,0,0,0,0
"250","As","T038",2,0,0,0,0,0
"251","As","T039",2,0,0,0,0,0
"252","As","T040",2,0,0,0,0,0
"253","As","T041",1,0,0,0,0,0
"254","As","T044",2,0,0,0,0,0
"255","As","T046",2,0,0,0,0,0
"256","As","T047",2,0,0,0,0,0
"257","As","T048",1,0,0,0,0,0
"258","As","T101",6,0,0,0,0,0
"259","As","T102",6,0,0,0,0,0
"260","As","T104",4,0,0,0,0,0
"261","As","T105",1,0,0,0,0,0
"262","As","T106",4,0,0,0,0,0
"263","As","T107",4,0,0,0,0,0
"264","As","T108",1,0,0,0,0,0
"265","As","T109",6,0,0,0,0,0
"266","As","T110",4,0,0,0,0,0
"267","As","T111",4,0,0,0,0,0
"268","As","T112",3,0,0,0,0,0
"269","As","T113",6,0,33,0,33,0
"270","As","T114",5,0,0,0,0,0
"271","As","T115",1,0,0,0,0,0
"272","As","T116",4,0,0,0,0,0
"273","As","T117",5,0,0,0,0,0
"274","As","T118",2,0,0,0,0,0
"275","As","T119",1,0,0,0,0,0
"276","As","T120",4,0,0,0,0,0
"277","As","T121",6,0,0,0,0,0
"278","As","T122",6,0,0,0,0,0
"279","As","T123",4,0,0,0,0,0
"280","As","T127",3,0,0,0,0,0
"281","As","T128",6,0,0,0,0,0
"282","As","T129",2,0,0,0,0,0
"283","As","T132",4,0,0,0,0,0
"284","As","T133",2,0,0,0,0,0
"285","As","T134",1,0,0,0,0,0
"286","As","T135",1,0,0,0,0,0
"287","As","T137",3,0,0,0,0,0
"288","As","T138",5,0,0,0,0,0
"289","As","T141",5,0,0,0,0,0
"290","As","T142",3,0,0,0,0,0
"291","As","T143",5,0,0,0,0,0
"292","As","T144",2,0,0,0,0,0
"293","As","T146",3,0,0,0,0,0
"294","As","T149",1,0,0,0,0,0
"295","As","T150",2,0,0,0,0,0
"296","As","T151",1,0,0,0,0,0
"297","As","T152",4,0,0,0,0,0
"298","As","T153",4,0,0,0,0,0
"299","As","T154",6,0,0,0,0,0
"300","As","T155",1,0,0,0,0,0
"301","As","T156",6,0,0,0,0,0
"302","As","T157",5,0,0,0,0,0
"303","As","T158",4,0,0,0,0,0
"304","As","T159",5,0,0,0,0,0
"305","As","T160",5,0,0,0,0,0
"306","As","T161",4,0,0,0,0,0
"307","As","T162",3,0,0,0,0,0
"308","As","T163",6,0,0,0,0,0
"309","As","T164",4,0,0,0,0,0
"310","As","T166",4,0,0,0,0,0
"311","As","T169",6,0,0,0,0,0
"312","As","T170",3,0,0,0,0,0
"313","As","T172",4,0,0,0,0,0
"314","As","T178",4,0,0,0,0,0
"315","As","T180",1,0,0,0,0,0
"316","As","T181",2,0,0,0,0,0
"317","As","T182",3,0,0,0,0,0
"318","As","T183",3,0,0,0,0,0
"319","As","T187",5,0,0,0,0,0
"320","As","T188",5,0,0,0,0,0
"321","As","T190",1,0,0,0,0,0
"322","As","T192",4,0,0,0,0,0
"323","As","T193",3,0,0,0,0,0
"324","As","T194",3,0,0,0,0,0
"325","As","T198",5,0,0,0,0,0
"326","As","T199",5,0,0,0,0,0
"327","Be","D302",2,0,0,0,NA,0
"328","Be","D303",2,0,0,0,NA,0
"329","Be","D304",1,0,0,0,NA,0
"330","Be","D305",6,0,0,0,NA,0
"331","Be","D306",1,0,0,0,NA,0
"332","Be","D307",3,0,0,0,NA,0
"333","Be","D308",6,0,0,0,NA,0
"334","Be","D309",3,0,0,0,NA,0
"335","Be","D310",1,0,0,0,NA,0
"336","Be","D311",4,0,0,0,NA,0
"337","Be","D312",2,0,0,0,NA,0
"338","Be","D315",2,0,0,0,NA,0
"339","Be","D316",2,0,0,0,NA,0
"340","Be","D317",6,0,0,0,NA,0
"341","Be","D319",2,0,0,0,NA,0
"342","Be","D321",6,0,0,0,NA,0
"343","Be","D325",2,0,0,0,NA,0
"344","Be","D326",2,0,0,0,NA,0
"345","Be","G400",6,0,0,0,NA,0
"346","Be","G401",5,0,0,0,NA,0
"347","Be","G402",7,0,0,0,NA,0
"348","Be","G403",6,0,0,0,NA,0
"349","Be","G404",5,0,0,0,NA,0
"350","Be","G405",5,0,0,0,NA,0
"351","Be","G407",5,0,0,0,NA,0
"352","Be","G408",2,0,0,0,NA,0
"353","Be","G409",2,0,0,0,NA,0
"354","Be","G410",5,0,0,0,NA,0
"355","Be","G412",6,0,0,0,NA,0
"356","Be","G413",6,0,0,0,NA,0
"357","Be","G414",6,0,0,0,NA,0
"358","Be","G415",6,0,0,0,NA,0
"359","Be","G416",4,0,0,0,NA,0
"360","Be","G417",5,0,0,0,NA,0
"361","Be","G418",5,0,0,0,NA,0
"362","Be","G419",3,0,0,0,NA,0
"363","Be","G420",5,0,0,0,NA,0
"364","Be","G422",5,0,0,0,NA,0
"365","Be","G424",4,0,0,0,NA,0
"366","Be","G425",4,0,0,0,NA,0
"367","Be","G426",5,0,0,0,NA,0
"368","Be","G427",5,0,0,0,NA,0
"369","Be","G428",5,0,0,0,NA,0
"370","Be","G429",1,0,0,0,NA,0
"371","Be","H203",5,0,0,0,NA,0
"372","Be","H204",5,0,0,0,NA,0
"373","Be","H205",3,0,0,0,NA,0
"374","Be","H206",6,0,0,0,NA,0
"375","Be","H208",7,0,0,0,NA,0
"376","Be","H209",5,0,0,0,NA,0
"377","Be","H210",6,0,0,0,NA,0
"378","Be","H211",4,0,0,0,NA,0
"379","Be","H212",2,0,0,0,NA,0
"380","Be","H213",4,0,0,0,NA,0
"381","Be","H214",5,0,0,0,NA,0
"382","Be","H215",5,0,0,0,NA,0
"383","Be","H216",5,0,0,0,NA,0
"384","Be","H217",5,0,0,0,NA,0
"385","Be","H218",4,0,0,0,NA,0
"386","Be","H219",4,0,0,0,NA,0
"387","Be","H220",5,0,0,0,NA,0
"388","Be","H221",6,0,0,0,NA,0
"389","Be","H224",1,0,0,0,NA,0
"390","Be","H225",1,0,0,0,NA,0
"391","Be","T002",2,0,0,0,NA,0
"392","Be","T006",1,0,0,0,NA,0
"393","Be","T008",2,0,0,0,NA,0
"394","Be","T009",2,0,0,0,NA,0
"395","Be","T010",2,0,0,0,NA,0
"396","Be","T013",1,0,0,0,NA,0
"397","Be","T014",2,0,0,0,NA,0
"398","Be","T015",2,0,0,0,NA,0
"399","Be","T016",1,0,0,0,NA,0
"400","Be","T018",2,0,0,0,NA,0
"401","Be","T019",2,0,0,0,NA,0
"402","Be","T020",2,0,0,0,NA,0
"403","Be","T022",2,0,0,0,NA,0
"404","Be","T023",2,0,0,0,NA,0
"405","Be","T024",2,0,0,0,NA,0
"406","Be","T025",2,0,0,0,NA,0
"407","Be","T029",2,0,0,0,NA,0
"408","Be","T033",1,0,0,0,NA,0
"409","Be","T034",2,0,0,0,NA,0
"410","Be","T035",2,0,0,0,NA,0
"411","Be","T036",2,0,0,0,NA,0
"412","Be","T037",1,0,0,0,NA,0
"413","Be","T038",2,0,0,0,NA,0
"414","Be","T039",2,0,0,0,NA,0
"415","Be","T040",2,0,0,0,NA,0
"416","Be","T041",1,0,0,0,NA,0
"417","Be","T044",2,0,0,0,NA,0
"418","Be","T046",2,0,0,0,NA,0
"419","Be","T047",2,0,0,0,NA,0
"420","Be","T048",1,0,0,0,NA,0
"421","Be","T101",6,0,0,0,NA,0
"422","Be","T102",6,0,0,0,NA,0
"423","Be","T104",4,0,0,0,NA,0
"424","Be","T105",1,0,0,0,NA,0
"425","Be","T106",4,0,0,0,NA,0
"426","Be","T107",4,0,0,0,NA,0
"427","Be","T108",1,0,0,0,NA,0
"428","Be","T109",6,0,0,0,NA,0
"429","Be","T110",4,0,0,0,NA,0
"430","Be","T111",4,0,0,0,NA,0
"431","Be","T112",3,0,0,0,NA,0
"432","Be","T113",6,0,0,0,NA,0
"433","Be","T114",5,0,0,0,NA,0
"434","Be","T115",1,0,0,0,NA,0
"435","Be","T116",4,0,0,0,NA,0
"436","Be","T117",5,0,0,0,NA,0
"437","Be","T118",2,0,0,0,NA,0
"438","Be","T119",1,0,0,0,NA,0
"439","Be","T120",4,0,0,0,NA,0
"440","Be","T121",6,0,0,0,NA,0
"441","Be","T122",6,0,0,0,NA,0
"442","Be","T123",4,0,0,0,NA,0
"443","Be","T127",3,0,0,0,NA,0
"444","Be","T128",6,0,0,0,NA,0
"445","Be","T129",2,0,0,0,NA,0
"446","Be","T132",4,0,0,0,NA,0
"447","Be","T133",2,0,0,0,NA,0
"448","Be","T134",1,0,0,0,NA,0
"449","Be","T135",1,0,0,0,NA,0
"450","Be","T137",3,0,0,0,NA,0
"451","Be","T138",5,0,0,0,NA,0
"452","Be","T141",5,0,0,0,NA,0
"453","Be","T142",3,0,0,0,NA,0
"454","Be","T143",5,0,0,0,NA,0
"455","Be","T144",2,0,0,0,NA,0
"456","Be","T146",3,0,0,0,NA,0
"457","Be","T149",1,0,0,0,NA,0
"458","Be","T150",2,0,0,0,NA,0
"459","Be","T151",1,0,0,0,NA,0
"460","Be","T152",4,0,0,0,NA,0
"461","Be","T153",4,0,0,0,NA,0
"462","Be","T154",6,0,0,0,NA,0
"463","Be","T155",1,0,0,0,NA,0
"464","Be","T156",6,0,0,0,NA,0
"465","Be","T157",5,0,0,0,NA,0
"466","Be","T158",4,0,0,0,NA,0
"467","Be","T159",5,0,0,0,NA,0
"468","Be","T160",5,0,0,0,NA,0
"469","Be","T161",4,0,0,0,NA,0
"470","Be","T162",3,0,0,0,NA,0
"471","Be","T163",6,0,0,0,NA,0
"472","Be","T164",4,0,0,0,NA,0
"473","Be","T166",4,0,0,0,NA,0
"474","Be","T169",6,0,0,0,NA,0
"475","Be","T170",3,0,0,0,NA,0
"476","Be","T172",4,0,0,0,NA,0
"477","Be","T178",4,0,0,0,NA,0
"478","Be","T180",1,0,0,0,NA,0
"479","Be","T181",2,0,0,0,NA,0
"480","Be","T182",3,0,0,0,NA,0
"481","Be","T183",3,0,0,0,NA,0
"482","Be","T187",5,0,0,0,NA,0
"483","Be","T188",5,0,0,0,NA,0
"484","Be","T190",1,0,0,0,NA,0
"485","Be","T192",4,0,0,0,NA,0
"486","Be","T193",3,0,0,0,NA,0
"487","Be","T194",3,0,0,0,NA,0
"488","Be","T198",5,0,0,0,NA,0
"489","Be","T199",5,0,0,0,NA,0
"490","Cd","D302",2,0,0,0,0,0
"491","Cd","D303",2,0,0,0,0,0
"492","Cd","D304",1,0,0,0,0,0
"493","Cd","D305",6,0,0,0,0,0
"494","Cd","D306",1,0,0,0,0,0
"495","Cd","D307",3,0,0,0,0,0
"496","Cd","D308",6,0,0,0,0,0
"497","Cd","D309",3,0,0,0,0,0
"498","Cd","D310",1,0,0,0,0,0
"499","Cd","D311",4,0,0,0,0,0
"500","Cd","D312",2,0,0,0,0,0
"501","Cd","D315",2,0,0,0,0,0
"502","Cd","D316",2,0,0,0,0,0
