"","analyte","Household Size","n","min","max","median","mean","sd","gmean","gsd"
"1","Ag","1",74,0.0015,0.725,0.014,0.0468,0.111,0.0156,3.72
"2","Ag","2",178,0.0012,1.11,0.017,0.0403,0.118,0.0171,2.97
"3","Ag","3",53,0.0015,0.117,0.014,0.0177,0.0191,0.0132,2.09
"4","Ag","4",35,0.0031,0.0895,0.015,0.024,0.0218,0.0164,2.46
"5","Ag","5",47,0.0018,0.134,0.0168,0.0219,0.0257,0.0139,2.59
"6","Ag","6",9,0.0018,0.207,0.02,0.0416,0.0635,0.02,3.69
"7","Ag",NA,14,0.00316,0.156,0.02,0.0385,0.0455,0.0214,3.16
"8","Al","1",74,4.83,248,33,49.1,46.6,36.2,2.13
"9","Al","2",178,3.82,1500,34.4,67.7,137,40.8,2.36
"10","Al","3",53,10.3,405,31.8,70.8,97.1,42.6,2.42
"11","Al","4",35,1.54,448,32,66,89.1,38.3,2.82
"12","Al","5",47,9.28,312,36.2,51.8,58.9,37.3,2.09
"13","Al","6",9,18.5,136,46.5,56.6,43.8,44.3,2.08
"14","Al",NA,14,16,1850,46.5,245,535,65.2,4.01
"15","As","1",74,0.139,14.8,0.947,1.96,2.74,1.1,2.74
"16","As","2",178,0.108,20,0.98,1.73,2.87,0.964,2.65
"17","As","3",53,0.28,40.3,1.4,3.67,6.6,1.69,3.17
"18","As","4",35,0.28,9.96,0.935,1.44,1.8,0.986,2.22
"19","As","5",47,0.18,6.58,1.03,1.28,1.11,0.974,2.13
"20","As","6",9,0.668,3.35,1.83,1.66,0.87,1.46,1.75
"21","As",NA,14,0.16,3.44,0.916,1.16,1.07,0.771,2.64
"22","Ba","1",74,0.161,98.4,8.66,14.4,16.7,8.35,3.32
"23","Ba","2",178,0.226,138,11.1,14.8,15.4,9.57,2.77
"24","Ba","3",53,1.94,185,17.4,30.1,37.3,17.1,2.91
"25","Ba","4",35,0.178,43,9.05,11.4,10.2,6.87,3.54
"26","Ba","5",47,0.119,59.1,11.8,15.2,11.7,11,2.64
"27","Ba","6",9,3.24,28.7,10.7,11.4,7.32,9.65,1.86
"28","Ba",NA,14,2.72,46.9,10.7,16.6,15.8,9.93,3.04
"29","Be","1",74,0.00063,0.238,0.016,0.0281,0.0347,0.0155,3.26
"30","Be","2",178,0.00063,1.4,0.0252,0.0424,0.117,0.02,3.21
"31","Be","3",53,0.0042,0.0706,0.021,0.0276,0.0182,0.0214,2.2
"32","Be","4",35,0.0025,0.182,0.021,0.0349,0.0372,0.0225,2.67
"33","Be","5",47,0.0042,0.208,0.0183,0.0325,0.035,0.0224,2.37
"34","Be","6",9,0.0018,0.042,0.016,0.0225,0.0179,0.0143,3.18
"35","Be",NA,14,0.00616,0.795,0.041,0.133,0.243,0.0439,4.26
"36","Cd","1",74,0.0066,2.64,0.0778,0.187,0.376,0.0848,3.12
"37","Cd","2",178,0.00528,11.7,0.0745,0.368,1.49,0.0789,3.82
"38","Cd","3",53,0.011,1.55,0.052,0.257,0.438,0.0898,3.89
"39","Cd","4",35,0.0071,0.736,0.049,0.122,0.162,0.0685,2.84
"40","Cd","5",47,0.007,1.31,0.0716,0.164,0.228,0.0857,3.11
"41","Cd","6",9,0.0462,0.128,0.0897,0.0885,0.0273,0.0845,1.4
"42","Cd",NA,14,0.0268,5.39,0.164,0.786,1.57,0.185,5.42
"43","Co","1",74,0.0059,0.982,0.0703,0.135,0.174,0.0792,2.82
"44","Co","2",178,0.0045,7.89,0.12,0.333,0.744,0.134,3.49
"45","Co","3",53,0.0327,1.87,0.159,0.388,0.527,0.185,3.25
"46","Co","4",35,0.0059,1.95,0.0839,0.184,0.332,0.0933,3.07
"47","Co","5",47,0.0045,1.4,0.086,0.19,0.281,0.104,2.86
"48","Co","6",9,0.0422,0.282,0.0944,0.141,0.1,0.111,2.11
"49","Co",NA,14,0.036,7.9,0.242,1.12,2.34,0.27,4.9
"50","Cr","1",74,0.056,13.6,0.3,0.717,1.85,0.324,2.75
"51","Cr","2",178,0.011,86,0.343,1.96,8.24,0.427,3.83
"52","Cr","3",53,0.055,3.38,0.401,0.605,0.619,0.404,2.5
"53","Cr","4",35,0.0351,1.67,0.258,0.383,0.346,0.277,2.28
"54","Cr","5",47,0.011,14.2,0.317,0.665,2.04,0.296,2.84
"55","Cr","6",9,0.11,1.07,0.278,0.357,0.296,0.282,2
"56","Cr",NA,14,0.011,1.23,0.143,0.375,0.378,0.192,3.94
"57","Cu","1",74,0.869,444,17.3,39.2,65,16.8,3.94
"58","Cu","2",178,0.238,2740,19.4,74.5,257,19.8,4.47
"59","Cu","3",53,3.37,425,18.4,53.8,92.7,26.1,2.97
"60","Cu","4",35,0.237,685,20,51.6,116,22.2,3.56
"61","Cu","5",47,0.301,141,18.8,30.9,32.2,18.2,3.16
"62","Cu","6",9,16,3160,28.5,390,1040,53.8,5.41
"63","Cu",NA,14,4.12,349,16.1,54.9,93.3,23.2,3.47
"64","Fe","1",74,2.5,251,26.2,42,47.7,27.3,2.48
"65","Fe","2",178,3.13,1640,40.1,98.5,213,44.2,3.04
"66","Fe","3",53,7.1,548,43.8,87.8,119,49.9,2.73
"67","Fe","4",35,6.32,184,39.8,52.8,42.6,38.2,2.37
"68","Fe","5",47,7.91,169,38.8,49,34,39.1,2
"69","Fe","6",9,6.48,324,60.9,103,104,54.9,3.85
"70","Fe",NA,14,4.39,149,35.9,46.6,42.8,30.2,2.84
"71","Mn","1",74,0.0668,128,2.61,10.5,20.4,3.05,5.04
"72","Mn","2",178,0.13,612,6.27,32.9,79.6,7.44,5.6
"73","Mn","3",53,0.292,207,5.56,20.8,39,5.92,5.17
"74","Mn","4",35,0.213,152,3.7,13,30.4,3.72,4.55
"75","Mn","5",47,0.154,166,4.44,19.4,35.1,5.43,5.1
"76","Mn","6",9,3.23,30.5,10.3,13,9.67,9.87,2.25
"77","Mn",NA,14,0.939,334,4.28,44.9,94.8,9.34,5.68
"78","Mo","1",74,0.0643,11.7,1.43,1.87,1.95,1.04,3.38
"79","Mo","2",178,0.016,13.9,1.05,1.65,1.93,0.894,3.43
"80","Mo","3",53,0.0634,25.6,2.96,4.44,5.23,2.43,3.6
"81","Mo","4",35,0.0927,11.1,1.15,1.92,2.1,1.15,2.95
"82","Mo","5",47,0.0078,7.67,1.81,2.02,1.78,1.14,3.75
"83","Mo","6",9,0.446,6.59,0.953,1.52,1.93,1.03,2.23
"84","Mo",NA,14,0.196,3.23,0.501,1.05,1.14,0.596,3.02
"85","Ni","1",74,0.0841,5.22,0.582,0.843,0.886,0.581,2.32
"86","Ni","2",178,0.0571,466,0.753,5.88,39,0.87,3.37
"87","Ni","3",53,0.195,13.3,0.814,2.04,2.96,1.06,2.85
"88","Ni","4",35,0.0884,7.81,0.562,1.07,1.45,0.651,2.53
"89","Ni","5",47,0.0681,17.4,0.81,1.58,2.8,0.882,2.64
"90","Ni","6",9,0.351,1.72,0.604,0.768,0.44,0.674,1.7
"91","Ni",NA,14,0.209,16.3,1.04,2.89,4.64,1.06,4.28
"92","Pb","1",74,0.0142,20.8,0.5,1.28,2.76,0.493,3.79
"93","Pb","2",178,0.0263,75.4,0.496,1.84,6.1,0.589,4.05
"94","Pb","3",53,0.0712,23.6,0.626,2.17,4.67,0.711,3.99
"95","Pb","4",35,0.0681,350,0.684,11.9,59,0.808,5.54
"96","Pb","5",47,0.0382,16.4,0.492,1.45,3.32,0.508,3.58
"97","Pb","6",9,0.193,13.4,0.608,2.11,4.28,0.746,3.74
"98","Pb",NA,14,0.408,27.2,1.05,4.6,8.03,1.52,4.02
"99","Sb","1",74,0.12,4.42,0.591,0.751,0.74,0.564,2.05
"100","Sb","2",178,0.106,5.35,0.536,0.698,0.631,0.542,1.99
"101","Sb","3",53,0.169,4.67,0.679,0.918,0.849,0.706,1.99
"102","Sb","4",35,0.122,2.6,0.529,0.685,0.536,0.542,1.98
"103","Sb","5",47,0.11,8.16,0.533,0.871,1.45,0.557,2.17
"104","Sb","6",9,0.263,9.15,0.657,1.57,2.86,0.75,2.91
"105","Sb",NA,14,0.173,1.67,0.445,0.532,0.381,0.446,1.81
"106","Se","1",74,0.16,11.7,1.16,1.71,1.78,1.13,2.57
"107","Se","2",178,0.16,11.6,1.52,1.85,1.57,1.31,2.41
"108","Se","3",53,0.25,6.9,1.6,2.15,1.48,1.64,2.27
"109","Se","4",35,0.16,7.43,0.917,1.79,1.98,1.01,3.06
"110","Se","5",47,0.229,8.25,1.3,1.95,1.73,1.35,2.49
"111","Se","6",9,0.25,4.68,1.1,1.78,1.56,1.28,2.45
"112","Se",NA,14,0.16,7.42,1.6,2.47,2.1,1.67,2.75
"113","Sn","1",74,0.00387,6.02,0.0606,0.243,0.835,0.0635,3.68
"114","Sn","2",178,0.00887,2.94,0.09,0.197,0.355,0.0931,3.15
"115","Sn","3",53,0.0142,3.21,0.119,0.321,0.562,0.139,3.59
"116","Sn","4",35,0.00196,0.986,0.1,0.128,0.166,0.0768,3.05
"117","Sn","5",47,0.011,80.7,0.109,2.16,11.9,0.117,4.79
"118","Sn","6",9,0.011,0.968,0.03,0.156,0.308,0.054,3.97
"119","Sn",NA,14,0.0217,13.9,0.262,1.32,3.64,0.241,5.8
"120","V","1",74,0.145,11.4,1.4,2.12,1.94,1.54,2.26
"121","V","2",178,0.216,18.3,1.4,2.34,2.66,1.52,2.49
"122","V","3",53,0.44,29,1.99,4.15,6.02,2.5,2.44
"123","V","4",35,0.276,7.59,1.68,2.43,2.04,1.74,2.36
"124","V","5",47,0.342,8.06,1.98,2.52,1.84,1.92,2.19
"125","V","6",9,0.44,9.98,1.55,2.28,2.95,1.45,2.53
"126","V",NA,14,0.176,6.08,1.09,2.09,1.98,1.31,2.89
"127","Zn","1",74,3.68,646,64.5,108,119,62.8,3.1
"128","Zn","2",178,1.4,12700,99.4,555,1500,110,5.35
"129","Zn","3",53,7.26,1280,56.2,208,308,86.6,3.71
"130","Zn","4",35,5.15,586,47.1,105,123,59.4,3.08
"131","Zn","5",47,2.4,1190,88.5,194,248,89.7,3.9
"132","Zn","6",9,6.39,541,43.9,98.3,168,47.2,3.29
"133","Zn",NA,14,13.2,784,79.9,168,217,82.8,3.53
"134","pli","1",74,0.199,10.9,1.46,1.85,1.61,1.4,2.13
"135","pli","2",178,0.148,24.6,1.66,2.54,2.71,1.8,2.25
"136","pli","3",53,0.436,13.4,1.88,2.85,2.69,2.07,2.19
"137","pli","4",35,0.127,10.7,1.46,2.12,2.18,1.5,2.28
"138","pli","5",47,0.118,8.34,1.58,2.14,1.64,1.67,2.1
"139","pli","6",9,0.882,6.46,1.68,2.29,1.79,1.84,1.94
"140","pli",NA,14,0.923,21.7,1.38,4.56,6.84,2.24,2.98
